What type of smartphone do you have?,Which brand is your Android smartphone?,What is the model?,What is your iPhone model?,Which is the model of your smartphone?,Does your smartphone have NFC functionality?,How often do you use your smartphone to pay in shops?,Would you use your smartphone to pay in shops if it would have NFC functionality?,How many times did you lose the chance to use a loyalty card because you did not have it with you?,Do you think it would be useful to access loyalty cards on your smartphone?
Android,OnePlus,7T,,,Yes,RARELY - You use your smartphone to pay only if you have to,,06-Oct,5
Android,Samsung,Galaxy S5,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
Android,Samsung,Galaxy A3,,,Yes,NEVER - You only pay with your bank card or cash,,0,3
Android,Samsung,Galaxy S10,,,Yes,NEVER - You only pay with your bank card or cash,,0,4
Android,Honor,9 lite,,,Yes,NEVER - You only pay with your bank card or cash,,0,3
iOS,,,"XS, XS Max, XR",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,0,4
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
Android,Samsung,Galaxy S9 plus,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,5
Android,Samsung,Galaxy s7 edge,,,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,ALWAYS - You only pay with you smartphone,,06-Oct,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
Android,Samsung,Galaxy A50,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,4
Android,OnePlus,6,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
Android,OnePlus,7 pro,,,Yes,NEVER - You only pay with your bank card or cash,,More than 10,5
Android,Samsung,Galaxy S9,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,3
Android,Xiaomi,Redmi 5 plus,,,No,,Yes,0,3
iOS,,,"7, 7+, 8, 8+, X",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,NEVER - You only pay with your bank card or cash,,More than 10,5
iOS,,,"XS, XS Max, XR",,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,5
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,OFTEN - You mostly use your smartphone to pay,,0,4
Android,Huawei,P8 Lite 2017,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,5
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,ALWAYS - You only pay with you smartphone,,01-May,5
Android,Honor,10,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,4
Android,Samsung,Galaxy S8,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,0,4
iOS,,,"7, 7+, 8, 8+, X",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,5
Android,Asus,Zenfone max ,,,Yes,NEVER - You only pay with your bank card or cash,,06-Oct,5
Android,BlackBerry,KeyOne,,,Yes,OFTEN - You mostly use your smartphone to pay,,06-Oct,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
iOS,,,"XS, XS Max, XR",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
Android,Samsung,Galaxy S8,,,Yes,NEVER - You only pay with your bank card or cash,,More than 10,3
iOS,,,"XS, XS Max, XR",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,4
iOS,,,"7, 7+, 8, 8+, X",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,5
iOS,,,"XS, XS Max, XR",,Yes,OFTEN - You mostly use your smartphone to pay,,06-Oct,5
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,ALWAYS - You only pay with you smartphone,,01-May,5
iOS,,,"XS, XS Max, XR",,Yes,OFTEN - You mostly use your smartphone to pay,,More than 10,4
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,OFTEN - You mostly use your smartphone to pay,,01-May,5
iOS,,,"XS, XS Max, XR",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
Android,Xiaomi,Note 7,,,No,,No,0,1
Android,Honor,10,,,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,4
Android,Xiaomi,Mi 9t pro,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,06-Oct,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,NEVER - You only pay with your bank card or cash,,06-Oct,3
Android,Nokia,7 Plus,,,Yes,NEVER - You only pay with your bank card or cash,,0,4
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,OFTEN - You mostly use your smartphone to pay,,0,4
iOS,,,"XS, XS Max, XR",,Yes,ALWAYS - You only pay with you smartphone,,01-May,5
Android,Xiaomi,RedMi Note,,,No,,No,01-May,3
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,01-May,5
iOS,,,"XS, XS Max, XR",,Yes,NEVER - You only pay with your bank card or cash,,01-May,5
Android,Samsung,Galaxy S9+,,,Yes,OFTEN - You mostly use your smartphone to pay,,0,3
Android,Samsung,Galaxy A5 ,,,No,,Yes,0,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
Android,Honor,6x,,,Yes,NEVER - You only pay with your bank card or cash,,0,5
Android,Google,Pixel 2XL,,,Yes,ALWAYS - You only pay with you smartphone,,More than 10,3
iOS,,,"3G, 3GS, 4, 4S, 5, 5C, 5S",,No,,Yes,01-May,5
Android,Huawei,Mate 20 lite,,,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,5
Android,Huawei,Mate 10 lite,,,Yes,NEVER - You only pay with your bank card or cash,,0,1
Android,Xiaomi,9T,,,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,5
Android,Samsung,Galaxy S10,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,01-May,4
iOS,,,"7, 7+, 8, 8+, X",,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,5
iOS,,,"3G, 3GS, 4, 4S, 5, 5C, 5S",,No,,No,0,4
Android,Huawei,P20,,,Yes,NEVER - You only pay with your bank card or cash,,06-Oct,5
Android,OnePlus,6,,,Yes,NEVER - You only pay with your bank card or cash,,01-May,5
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,RARELY - You use your smartphone to pay only if you have to,,More than 10,5
iOS,,,"11, 11 Pro, 11 Max, SE (2nd Gen)",,Yes,RARELY - You use your smartphone to pay only if you have to,,01-May,4
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,OFTEN - You mostly use your smartphone to pay,,01-May,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,RARELY - You use your smartphone to pay only if you have to,,06-Oct,5
iOS,,,"6, 6+, 6S, 6S+, SE (1st Gen)",,Yes,ALWAYS - You only pay with you smartphone,,More than 10,5
Android,Samsung,Galaxy A20E,,,Yes,NEVER - You only pay with your bank card or cash,,06-Oct,5
iOS,,,"7, 7+, 8, 8+, X",,Yes,NEVER - You only pay with your bank card or cash,,01-May,4
Android,Samsung,Galaxy S8,,,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,06-Oct,5
iOS,,,"XS, XS Max, XR",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
iOS,,,"XS, XS Max, XR",,Yes,SOMETIMES - You use either the smartphone or the bank card to pay,,More than 10,5
